code,name,gender,country_code,country,nationality_long,disciplines,events,birth_date,birth_country,hobbies,occupation,education,family,lang,coach
1930254,TOLEUGALI Batyrkhan,Male,KAZ,Kazakhstan,Kazakhstan,['Taekwondo'],['Men -80kg'],2006-07-25,Kazakhstan,Basketball,Athlete,,"Father, Bolat. Mother, Indira. Older sister, Tomiris. Younger sister, Merey","English, Kazakh, Russian","Personal: Nikolay Zharkov <br>National: Nursultan Mamayev (KAZ), London 2012 Olympian"
1930255,ABABAKIROV Samirkhon,Male,KAZ,Kazakhstan,Kazakhstan,['Taekwondo'],['Men -58kg'],2003-09-26,Kazakhstan,,Athlete,,"Father, Sarvarkhon. Mother, Magruba. Brother, Sardorkhon. Sister, Guliraino","Kazakh, Russian, Uzbek","Nursultan Mamayev (KAZ), London 2012 Olympian"
1930276,BUBLIK Alexander,Male,KAZ,Kazakhstan,Kazakhstan,['Tennis'],"[""Men's Doubles"", ""Men's Singles"", 'Mixed Doubles']",1997-06-17,Russian Federation,"Playing basketball, listening to music",,,"Father, Stanislav. Mother, Natalia","English, Russian",Personal: Artem Suprunov (RUS)
1930278,NEDOVYESOV Aleksandr,Male,KAZ,Kazakhstan,Kazakhstan,['Tennis'],"[""Men's Doubles""]",1987-02-15,Ukraine,"Surfing the internet, reading books, watching movies, supporting FC Barcelona",,,"Father, Sergiy. Mother, Natalia. Sisters, Elena and Polina","English, Russian, Ukranian",
1930284,RYBAKINA Elena,Female,KAZ,Kazakhstan,Kazakhstan,['Tennis'],['Mixed Doubles'],1999-06-17,Russian Federation,"Spending time with friends, family and her dog Mulia",,,"Father, Andrey. Mother, Ekaterina. Sister, Anna","English, Russian",Personal: Stefano Vukov (CRO)
1930292,BREY Leandro,Male,ARG,Argentina,Argentina,['Football'],['Men'],2002-09-21,Argentina,,Athlete,,,Spanish,National: Javier Mascherano (ARG)
1930367,CAICEDO Nicole,Female,ECU,Ecuador,Ecuador,['Athletics'],"[""Women's 200m"", ""Women's 400m""]",2000-09-02,Ecuador,"Listening to music and watching TV series. Loves an Ecuadorian dish called Sango de Camaron, made with plantain puree and large shrimp","Athlete, student","Studies Sport Pedagogy at Guayaquil State University (Guayaquil, ECU)",,Spanish,Personal: Nelson Gutierrez (CUB)
1930371,NAZARENO Aimara,Female,ECU,Ecuador,Ecuador,['Athletics'],"[""Women's 200m""]",2001-11-30,Ecuador,,Athlete,,,Spanish,Personal: Nelson Gutierrez (CUB)
1930372,di CESARE Marco,Male,ARG,Argentina,Argentina,['Football'],['Men'],2002-01-30,Argentina,,Athlete,,"Married (in 2022). One child, Gian (born November 2023). Father, Daniel Di Cesare (technical director of Cuyo University). Mother, Veronica. Sisters, Michella (born 1997) and Florencia (born 1995)",Spanish,National: Javier Mascherano (ARG)
1930375,ECHEVERRI Claudio,Male,ARG,Argentina,Argentina,['Football'],['Men'],2006-01-02,Argentina,,"Athlete, student","Studied at Instituto Universitario River Plate, Buenos Aires, ARG","Father, Domingo. Mother, Rosa. Two brothers, Yonathan and Diego",Spanish,National: Javier Mascherano (ARG)
1930384,FERNANDEZ Ezequiel,Male,ARG,Argentina,Argentina,['Football'],['Men'],2002-07-25,Argentina,,Athlete,,,Spanish,Club: Diego Martinez (ARG).<br>National: Javier Mascherano (ARG)
1930386,GARCIA Joaquin,Male,ARG,Argentina,Argentina,['Football'],['Men'],2001-08-20,Argentina,,Athlete,,,Spanish,National: Javier Mascherano (ARG)
1930400,GONDOU Luciano,Male,ARG,Argentina,Argentina,['Football'],['Men'],2001-06-22,Argentina,Watching television series,Athlete,,,Spanish,National: Javier Mascherano (ARG)
1930404,TENORIO Angela Gabriela,Female,ECU,Ecuador,Ecuador,['Athletics'],"[""Women's 100m""]",1996-01-27,Ecuador,Watching TV and movies,Athlete,,"Father, Edison. Mother, Aida. Has three siblings",Spanish,Personal: Nelson Gutierrez (CUB)
1930405,HEZZE Santiago,Male,ARG,Argentina,Argentina,['Football'],['Men'],2001-10-22,Argentina,,Athlete,,"Father, Julio Hezze",Spanish,Club: Jose Luis Mendilibar (ESP).<br>National: Javier Mascherano (ARG)
1930407,MOREJON Glenda,Female,ECU,Ecuador,Ecuador,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",2000-05-30,Ecuador,Listening to music,Athlete,Business Administration at Technical University of Loja (ECU). Plans to pursue Psychology at Universidad Internacional La Rioja (ESP),"Father, Luis Anibal. Mother, Maria del Carmen",Spanish,Personal: Julio Chuqui (ECU)
1930417,LUJAN Gonzalo,Male,ARG,Argentina,Argentina,['Football'],['Men'],2001-04-27,Argentina,,Athlete,,,Spanish,National: Javier Mascherano (ARG)
1930422,TORRES Paula Milena,Female,ECU,Ecuador,Ecuador,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",2000-10-17,Ecuador,,Athlete,Received a degree in Marketing Technology in 2021,"Father, Hover. Mother, Martha",Spanish,Personal: Julio Chuqui (ECU)
1930426,MEDINA Cristian,Male,ARG,Argentina,Argentina,['Football'],['Men'],2002-06-01,Argentina,,Athlete,,,Spanish,Club: Diego Martinez (ARG).</p><p>National: Javier Mascherano (ARG)
1930428,BONILLA Magaly Beatriz,Female,ECU,Ecuador,Ecuador,['Athletics'],"[""Women's 20km Race Walk""]",1992-02-08,Ecuador,,Athlete,"Graduated with a Bachelor’s degree in Physical Education from the Ambato Technical University (Ambato, ECU)","Mother, Noemi",Spanish,Personal: Brent Vallance (AUS)
1930436,OTAMENDI Nicolas,Male,ARG,Argentina,Argentina,['Football'],['Men'],1988-02-12,Argentina,,Athlete,,"Wife, Celeste Rey (married 2017). Daughter, Mia (born 2012). Son, Valentin (born 2015). Daughter, Sienna (born 2018).<br>Mother, Silvia. Brother, Gabriel","English, Spanish",Club: Roger Schmidt (GER).<br>National: Javier Mascherano (ARG)
1930444,NUNEZ Alan,Male,PAR,Paraguay,Paraguay,['Football'],['Men'],2004-10-01,Paraguay,,Athlete,,,Spanish,National: Carlos Jara Saguier (PAR)
1930451,RULLI Geronimo,Male,ARG,Argentina,Argentina,['Football'],['Men'],1992-05-20,Argentina,,Athlete,,"Wife, Rocio Esposito Suarez (maried in June 2018). One child. Father, Omar Rulli. Mother, Adriana Garcia",,
1930453,CANTERO Alexis,Male,PAR,Paraguay,Paraguay,['Football'],['Men'],2003-02-05,Paraguay,,"Athlete, student",Studying Economics at Heroes de la Patria School in Luque (PAR),,Spanish,National: Carlos Jara Saguier (PAR)
1930459,SOLER Julio,Male,ARG,Argentina,Argentina,['Football'],['Men'],2005-02-16,Paraguay,,Athlete,,"Father, Julio Soler Sr",Spanish,Club: Ricardo Zielinski (ARG).<br>National: Javier Mascherano (ARG)
1930463,CHIRYUKIN Nikita,Male,KAZ,Kazakhstan,Kazakhstan,['Shooting'],"['10m Air Pistol Men', '25m Rapid Fire Pistol Men', '10m Air Pistol Mixed Team']",2002-07-05,Kazakhstan,"Playing the guitar, computer games",Athlete,"Graduated  Coaching at the Auezov South Kazakhstan State University (Shymkent, KAZ)","Father, Konstantin. Mother, Marina. Sister Maria","English, Russian",National: Rashid Yunusmetov (KAZ)
